1.2737	1.2737	1.3135	1.3135	1.3135	1.2961	1.2961	1.2961	1.3097	1.3097	1.3097	1.3116	1.3116	1.3116	1.2704	1.2704	1.2704	1.2894	1.2894	1.2894	1.2910999	1.2910999	1.2910999	1.3055999	1.3055999	1.3055999	1.3671	1.3671	1.3671	1.4235001	
1.0922	1.0671	1.0671	1.0671	1.0675999	1.0675999	1.0675999	1.0943	1.0943	1.0943	1.0676999	1.0676999	1.0676999	1.0917	1.0917	1.0917	1.1229	1.1229	1.1229	1.0607	1.0607	1.0607	1.0584	1.0584	1.0584	2.0712001	2.0712001	2.0712001	1.1026	1.1026	
1.0632	1.0632	1.0632	1.0817	1.0817	1.0817	1.0906	1.0906	1.0906	1.0747	1.0747	1.0747	1.1049	1.1049	1.1049	1.1846999	1.1846999	1.1846999	1.0976001	1.0976001	1.0976001	1.068	1.068	1.068	1.0703	1.0703	1.0703	1.0567	1.0567	1.0567	
1.0366	1.0366	0.9876	0.9876	0.9876	1.0227	1.0227	1.0227	0.9656	0.9656	0.9656	0.9851999	0.9851999	0.9851999	0.9798	0.9798	0.9798	1.0074999	1.0074999	1.0074999	1.0187	1.0187	1.0187	1.013	1.013	1.013	1.0284998	1.0284998	1.0284998	1.0102	
0.86620003	0.8286	0.8286	0.8286	0.88390005	0.88390005	0.88390005	0.9709	0.9709	0.9709	0.88149995	0.88149995	0.88149995	0.8328999	0.8328999	0.8328999	0.86840004	0.86840004	0.86840004	0.8745	0.8745	0.8745	0.837	0.837	0.837	0.85639995	0.85639995	0.85639995	0.8529	0.8529	
0.8568	0.8568	0.8568	0.8876	0.8876	0.8876	0.82789993	0.82789993	0.82789993	0.84860003	0.84860003	0.84860003	0.8647	0.8647	0.8647	0.84819996	0.84819996	0.84819996	0.8831001	0.8831001	0.8831001	0.8503999	0.8503999	0.8503999	0.8523	0.8523	0.8523	0.8793	0.8793	0.8793	
0.91450006	0.91450006	0.9308999	0.9308999	0.9308999	0.9743	0.9743	0.9743	1.9667	1.9667	1.9667	0.927	0.927	0.927	0.91770005	0.91770005	0.91770005	0.9538	0.9538	0.9538	0.95039994	0.95039994	0.95039994	0.9265001	0.9265001	0.9265001	0.9340001	0.9340001	0.9340001	0.95150006	
1.0	1.0054001	1.0054001	1.0054001	1.0409	1.0409	1.0409	0.99009997	0.99009997	0.99009997	0.989	0.989	0.989	1.0015001	1.0015001	1.0015001	1.0238999	1.0238999	1.0238999	1.0057	1.0057	1.0057	1.0562	1.0562	1.0562	1.0289	1.0289	1.0289	1.0035001	1.0035001	
1.2023001	1.2023001	1.2023001	1.2052001	1.2052001	1.2052001	1.2233999	1.2233999	1.2233999	1.2083	1.2083	1.2083	1.2254	1.2254	1.2254	1.2353	1.2353	1.2353	1.1906999	1.1906999	1.1906999	1.1917999	1.1917999	1.1917999	1.2262999	1.2262999	1.2262999	1.2554001	1.2554001	1.2554001	
1.4217002	1.4217002	1.3778	1.3778	1.3778	1.3459002	1.3459002	1.3459002	1.3852999	1.3852999	1.3852999	1.362	1.362	1.362	1.4109	1.4109	1.4109	1.3654999	1.3654999	1.3654999	1.4557999	1.4557999	1.4557999	1.375	1.375	1.375	1.3770999	1.3770999	1.3770999	1.3846	
